yas,aylik_gelir,egitim,toplam_deneyim_yili,sirkette_calisma_yili,performans_puani,fazla_mesai,aylik_fazla_mesai_saati,yillik_izin_kullanimi,is_memnuniyeti,is_yasam_dengesi,son_terfiden_beri_yil,ise_uzaklik_km,isten_ayrildi
53,88000,Lisans,,16,3,Evet,23,16,1,3,6,5,Evet
39,74500,Lisans,20,2,5,Hayir,2,16,5,3,0,28,Hayir
38,48600,Lise,11,2,4,Evet,12,12,3,3,0,22,Evet
46,51200,Lisans,16,11,4,Hayir,4,3,3,5,1,29,Hayir
35,55000,Yuksek Lisans,9,6,5,Hayir,6,14,5,3,0,34,Hayir
50,62300,Lise,19,9,4,Hayir,6,20,1,5,2,7,Evet
51,86700,On Lisans,29,17,5,Evet,11,8,4,2,0,7,Hayir
38,48500,On Lisans,14,0,5,Hayir,1,16,3,3,0,12,Hayir
26,22000,Lisans,0,0,2,Evet,11,16,4,,0,47,Evet
32,44000,Yuksek Lisans,7,4,3,Hayir,6,4,3,1,4,30,Hayir
29,41400,On Lisans,6,4,3,Hayir,3,20,3,3,3,35,Hayir
43,89300,Lisans,18,18,3,Evet,12,10,5,1,5,40,Hayir
25,41900,On Lisans,7,4,2,Evet,16,14,1,5,2,8,Evet
37,69100,Lisans,19,7,1,Hayir,5,3,3,2,5,37,Evet
54,90300,Lise,27,12,4,Evet,15,7,1,2,6,3,Evet
53,69500,Yuksek Lisans,20,6,5,Hayir,6,19,2,2,4,9,Hayir
42,45900,Lisans,17,2,4,Evet,12,9,5,5,1,31,Hayir
27,,Yuksek Lisans,7,7,5,Evet,10,18,4,2,0,46,Evet
40,67400,Lisans,18,9,4,Hayir,1,20,5,4,2,13,Hayir
35,54000,Yuksek Lisans,13,6,3,Hayir,3,12,1,3,3,49,Hayir
50,68800,Lisans,19,17,4,Hayir,3,7,3,5,8,12,Hayir
36,51400,Yuksek Lisans,7,2,4,Evet,15,16,2,1,0,14,Evet
38,50000,Lisans,15,0,2,Hayir,1,7,1,4,0,1,Hayir
24,40600,Lisans,4,1,4,Hayir,6,10,2,2,1,38,Evet
50,59200,Lisans,16,13,3,Evet,21,15,5,2,8,38,Hayir
47,46200,Lisans,14,2,2,Evet,18,9,3,2,2,35,Evet
47,68100,,11,10,2,Hayir,3,3,4,2,2,18,Hayir
50,85900,Yuksek Lisans,20,4,3,Hayir,6,4,3,1,1,18,Hayir
50,50200,Lisans,14,10,3,Evet,18,19,3,3,8,28,Hayir
47,92200,Lisans,27,17,4,Hayir,5,11,2,1,8,30,Evet
46,45700,Lisans,13,7,3,Evet,13,17,2,4,2,10,Hayir
27,35400,Lisans,4,4,1,Evet,10,4,2,4,2,10,Hayir
40,50200,Lisans,15,9,4,Hayir,2,14,5,3,1,48,Hayir
25,38800,On Lisans,0,0,4,Hayir,6,18,5,5,0,32,Hayir
56,72800,On Lisans,28,,4,Evet,9,10,1,5,6,49,Evet
47,68800,Lisans,24,16,2,Evet,25,15,3,2,5,27,Evet
58,87700,Yuksek Lisans,33,8,4,Hayir,2,16,4,2,3,27,Hayir
45,67200,Yuksek Lisans,17,10,2,Hayir,2,12,1,3,6,5,Evet
53,73800,Yuksek Lisans,15,0,1,Hayir,5,10,2,1,0,23,Hayir
38,57000,Lise,13,12,4,Hayir,3,11,3,3,4,21,Hayir
51,96600,Lise,31,4,3,Hayir,6,5,2,4,4,8,Hayir
35,60800,On Lisans,14,14,5,Evet,29,3,2,4,2,44,Hayir
36,57400,Yuksek Lisans,14,11,3,Hayir,3,,5,1,8,29,Hayir
46,74000,Lisans,22,16,3,Hayir,6,12,4,4,4,30,Hayir
57,61800,Lise,14,9,3,Hayir,5,5,2,4,7,20,Evet
33,45300,Yuksek Lisans,11,5,3,Evet,19,10,2,2,2,33,Evet
52,61800,Lisans,18,13,2,Hayir,3,15,1,2,5,24,Hayir
48,74800,On Lisans,21,14,4,Hayir,2,4,5,1,2,26,Hayir
25,22600,Lisans,1,0,3,Hayir,4,16,5,3,0,45,Hayir
28,31400,Yuksek Lisans,8,4,4,Hayir,4,7,4,3,,21,Hayir
41,47600,Lisans,10,9,3,Hayir,2,14,3,2,0,50,Hayir
57,89500,Lisans,32,20,4,Hayir,6,16,5,5,8,20,Hayir
29,22000,Lisans,0,0,2,Hayir,2,3,2,5,0,8,Hayir
49,103400,On Lisans,26,10,3,Hayir,4,5,4,2,1,50,Evet
53,93900,Lise,34,12,4,Hayir,3,7,2,5,6,8,Hayir
29,38700,Lisans,6,2,2,Hayir,0,3,1,1,2,43,Hayir
